brand,key_phrase,count
Banana Republic,jeans,2
Banana Republic,3 page employee dress guide handbook,1
Banana Republic,adidas,1
Banana Republic,ads,1
Banana Republic,allbirds,1
Banana Republic,allen edmonds benson derby sneaker,1
Banana Republic,amberjack originals,1
Banana Republic,american eagle,1
Banana Republic,athletic,1
Banana Republic,athletic wear,1
Banana Republic,banana republic,1
Banana Republic,banana republic dobby dress shirt,1
Banana Republic,banana republic sharkskin trouser,1
Banana Republic,bella,1
Banana Republic,big boy job,1
Banana Republic,black shirt,1
Banana Republic,blazers,1
Banana Republic,budget,1
Banana Republic,canvas,1
Banana Republic,casual shirts,1
Banana Republic,champion,1
Banana Republic,charcoal,1
Banana Republic,chino,1
Banana Republic,chinos,1
Banana Republic,cole haan zerogrand,1
Banana Republic,context,1
Banana Republic,course,1
Banana Republic,decade,1
Banana Republic,denim jackets,1
Banana Republic,different items,1
Banana Republic,discord,1
Banana Republic,dress shirts,1
Banana Republic,entirety,1
Banana Republic,everything,1
Banana Republic,fabric sneakers,1
Banana Republic,facebook marketplace,1
Banana Republic,frank,1
Banana Republic,guys,1
Banana Republic,h&m,1
Banana Republic,hoodies,1
Banana Republic,independent trading co.,1
Banana Republic,j. crew,1
Banana Republic,jacket,1
Banana Republic,jomers,1
Banana Republic,lands' end,1
Banana Republic,levi,1
Banana Republic,liberty springer,1
Banana Republic,majority,1
Banana Republic,million different sizes,1
Banana Republic,most items,1
Banana Republic,nashville,1
Banana Republic,navy,1
Banana Republic,new job,1
Banana Republic,new shoes,1
Banana Republic,new wardrobe,1
Banana Republic,next level apparel,1
Banana Republic,nice laundry,1
Banana Republic,oak,1
Banana Republic,official weekly buy,1
Banana Republic,ok things,1
Banana Republic,opinions,1
Banana Republic,outdoor voices,1
Banana Republic,pajama pants,1
Banana Republic,pants,1
Banana Republic,peacoats,1
Banana Republic,pickup,1
Banana Republic,public rec,1
Banana Republic,quince comfortflex dress shirt,1
Banana Republic,reviews,1
Banana Republic,role,1
Banana Republic,sell/trade thread,1
Banana Republic,shipping,1
Banana Republic,shoes,1
Banana Republic,shorts,1
Banana Republic,smart-business-casual,1
Banana Republic,state,1
Banana Republic,swim trunks,1
Banana Republic,t shirts,1
Banana Republic,t-shirts,1
Banana Republic,tie,1
Banana Republic,tn. pricing,1
Banana Republic,todd snyder,1
Banana Republic,ton,1
Banana Republic,uniqlo,1
Banana Republic,xl,1
Banana Republic,xs,1
Banana Republic,zara,1
Gap,gap,5
Gap,kind,2
Gap,people,2
Gap,reason,2
Gap,uniqlo,2
Gap,32 degrees warehouse sale,1
Gap,accurate rsvps,1
Gap,amazon essentials ocbds,1
Gap,ankle issues,1
Gap,bad idea,1
Gap,baggy,1
Gap,balloon,1
Gap,base layers,1
Gap,beige,1
Gap,breast pocket,1
Gap,brooks brothers,1
Gap,budget,1
Gap,budget khaki weave,1
Gap,casual shirting options,1
Gap,certain things,1
Gap,clothing,1
Gap,cold climates,1
Gap,cold weather clothes,1
Gap,collar roll,1
Gap,condition,1
Gap,contracts,1
Gap,decent,1
Gap,decent quality,1
Gap,desert boots,1
Gap,different colors,1
Gap,dress shirt,1
Gap,dress shoe,1
Gap,dress sneakers,1
Gap,dudes,1
Gap,dust,1
Gap,ebay,1
Gap,elevated casual look,1
Gap,enough volume,1
Gap,entire week,1
Gap,eyes,1
Gap,finance bro,1
Gap,gap prices,1
Gap,great price,1
Gap,guests,1
Gap,gymwear,1
Gap,headcount,1
Gap,humble oxford cloth,1
Gap,j crew,1
Gap,j press,1
Gap,jacket,1
Gap,jeans,1
Gap,likes,1
Gap,mistake,1
Gap,near perfect,1
Gap,new job,1
Gap,new shoes,1
Gap,new wardrobe,1
Gap,new work environment,1
Gap,ocbd,1
Gap,office,1
Gap,office bro,1
Gap,one,1
Gap,pair,1
Gap,plain plackets,1
Gap,plastic,1
Gap,premium,1
Gap,ralph lauren,1
Gap,right trousers,1
Gap,rsvp deadline,1
Gap,sale,1
Gap,savings,1
Gap,site,1
Gap,stark white,1
Gap,starter wardrobe,1
Gap,straight,1
Gap,stretch shirts,1
Gap,sub freezing temps,1
Gap,super budget,1
Gap,sympathies,1
Gap,"tan"" jean",1
Gap,tan/khaki colored jeans,1
Gap,target,1
Gap,tech bro,1
Gap,temptation,1
Gap,the,1
Gap,thing,1
Gap,tie,1
Gap,two miles,1
Gap,value-minded tan jeans,1
Gap,vendors,1
Gap,versions,1
Gap,wedding invitations,1
Gap,weekend,1
Gap,whim,1
Gap,wide leg fit,1
Gap,work clothes,1
Gap,worst collar design,1
Gap,worth,1
Gap,wrangler,1
Old Navy,digital gift card,6
Old Navy,old navy,4
Old Navy,old navy t-shirts,4
Old Navy,100% cotton,3
