date,oversized hoodie,wide leg jeans,neutral colors fashion,linen pants women,isPartial
2025-04-20,5,23,0,4,False
2025-04-27,4,21,0,5,False
2025-05-04,4,21,0,4,False
2025-05-11,4,19,0,5,False
2025-05-18,4,20,0,5,False
2025-05-25,4,21,0,5,False
2025-06-01,4,20,0,5,False
2025-06-08,4,18,0,5,False
2025-06-15,4,17,0,5,False
2025-06-22,4,17,0,5,False
2025-06-29,4,16,0,5,False
2025-07-06,4,17,0,4,False
2025-07-13,4,20,0,4,False
2025-07-20,5,21,0,4,False
2025-07-27,6,24,0,4,False
2025-08-03,6,29,0,4,False
2025-08-10,6,25,0,3,False
2025-08-17,7,31,0,3,False
2025-08-24,8,32,0,3,False
2025-08-31,9,35,0,2,False
2025-09-07,9,34,0,2,False
2025-09-14,8,30,0,2,False
2025-09-21,9,32,0,2,False
2025-09-28,10,33,0,2,False
2025-10-05,10,32,0,2,False
2025-10-12,10,32,0,2,False
2025-10-19,11,33,0,2,False
2025-10-26,10,30,0,2,False
2025-11-02,11,32,0,2,False
2025-11-09,12,33,0,2,False
2025-11-16,14,31,0,2,False
2025-11-23,16,34,0,2,False
2025-11-30,14,30,0,2,False
2025-12-07,13,28,0,2,False
2025-12-14,13,26,0,2,False
2025-12-21,10,26,0,2,False
2025-12-28,9,27,0,2,False
2026-01-04,8,25,0,2,False
2026-01-11,7,27,0,2,False
2026-01-18,7,27,0,2,False
2026-01-25,8,30,0,2,False
2026-02-01,11,33,0,3,False
2026-02-08,34,43,0,6,False
2026-02-15,43,51,0,7,False
2026-02-22,20,38,0,5,False
2026-03-01,8,32,0,3,False
2026-03-08,8,36,0,5,False
2026-03-15,10,37,0,5,False
2026-03-22,59,69,0,7,False
2026-03-29,100,100,0,9,False
2026-04-05,67,78,0,6,False
2026-04-12,52,68,0,7,False
2026-04-19,54,66,0,6,True
