name,color,material,price,image,brand,url
Barrel Jeans,neutral,cotton,$49.90,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_62_479000_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/products/E479000-000/00
Uniqlo denim 2,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_62_479000_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 3,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_08_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 4,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_08_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 5,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 6,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 7,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_08_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 8,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_62_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 9,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_67_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
Uniqlo denim 10,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_69_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim
