name,color,material,price,image,brand,url
Help,neutral,cotton,N/A,,Zara,https://www.zara.com#main
Zara denim 2,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 3,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 4,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 5,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 6,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 7,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 8,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 9,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
Zara denim 10,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim&section=MAN
