name,color,material,price,image,brand,url
Oversized Color Denim Jacket,neutral,denim,$69.90,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480920/item/usgoods_07_480920_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/products/E480920-000/00
Uniqlo denim jacket 2,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480920/item/usgoods_07_480920_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Uniqlo denim jacket 3,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480920/chip/goods_09_480920_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Uniqlo denim jacket 4,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480920/chip/goods_09_480920_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Uniqlo denim jacket 5,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Uniqlo denim jacket 6,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Uniqlo denim jacket 7,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480920/chip/goods_09_480920_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Uniqlo denim jacket 8,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480920/chip/goods_30_480920_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Oversized Color Denim Jacket,neutral,denim,$69.90,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
Uniqlo denim jacket 10,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20jacket
