name,color,material,price,image,brand,url
Help,neutral,cotton,$ 149.00,,Zara,https://www.zara.com#main
Zara denim jacket 2,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 3,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 4,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 5,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 6,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 7,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 8,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 9,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20jacket&section=MAN
Zara denim jacket 10,neutral,denim,$ 149.00,https://static.zara.net/stdstatic/7.11.0/images/transparent-background.png,Zara,https://www.zara.com/us/en/rib-denim-jacket-harry-lambert-for-zara-x-disney-p01300330.html
