name,color,material,price,image,brand,url
Zip-Up Short Blouson | Denim,neutral,denim,$79.90,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480827/item/usgoods_68_480827_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/products/E480827-000/00
Uniqlo denim shorts 2,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480827/item/usgoods_68_480827_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Uniqlo denim shorts 3,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480827/chip/goods_68_480827_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Uniqlo denim shorts 4,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480827/chip/goods_68_480827_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Uniqlo denim shorts 5,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Uniqlo denim shorts 6,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Uniqlo denim shorts 7,neutral,denim,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480827/chip/goods_68_480827_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Zip-Up Short Blouson | Denim,neutral,denim,$79.90,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Uniqlo denim shorts 9,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
Uniqlo denim shorts 10,neutral,denim,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=denim%20shorts
