name,color,material,price,image,brand,url
Help,neutral,cotton,N/A,,Zara,https://www.zara.com#main
Zara denim shorts 2,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 3,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 4,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 5,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 6,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 7,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 8,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 9,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
Zara denim shorts 10,neutral,denim,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=denim%20shorts&section=MAN
