name,color,material,price,image,brand,url
Help,neutral,cotton,N/A,,Zara,https://www.zara.com#main
Zara jeans 2,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 3,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 4,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 5,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 6,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 7,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 8,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 9,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
Zara jeans 10,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=jeans&section=MAN
