name,color,material,price,image,brand,url
Barrel Jeans,neutral,cotton,$49.90,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_62_479000_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/products/E479000-000/00
Uniqlo jeans 2,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479000/item/usgoods_62_479000_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 3,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_08_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 4,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_08_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 5,neutral,cotton,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 6,neutral,cotton,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 7,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_08_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 8,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_62_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 9,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_67_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
Uniqlo jeans 10,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479000/chip/goods_69_479000_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=jeans
