name,color,material,price,image,brand,url
AIRism Cotton Oversized T-Shirt | Half-Sleeve,neutral,cotton,$19.90,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465185/item/usgoods_00_465185_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/products/E465185-000/00
Uniqlo next season design 2,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465185/item/usgoods_00_465185_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 3,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465185/chip/goods_00_465185_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 4,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465185/chip/goods_00_465185_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 5,neutral,cotton,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 6,neutral,cotton,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 7,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465185/chip/goods_00_465185_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 8,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465185/chip/goods_02_465185_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 9,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465185/chip/goods_07_465185_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
Uniqlo next season design 10,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465185/chip/goods_09_465185_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=next%20season%20design
