name,color,material,price,image,brand,url
Help,neutral,cotton,N/A,,Zara,https://www.zara.com#main
Zara next season design 2,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 3,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 4,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 5,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 6,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 7,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 8,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 9,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
Zara next season design 10,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=next%20season%20design&section=MAN
