name,color,material,price,image,brand,url
AIRism Bra Camisole,neutral,airism,$29.90,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/473977/item/usgoods_00_473977_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/products/E473977-000/00
Uniqlo tank tops 2,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/473977/item/usgoods_00_473977_3x4.jpg?width=300,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 3,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473977/chip/goods_00_473977_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 4,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473977/chip/goods_00_473977_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 5,neutral,cotton,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 6,neutral,cotton,N/A,,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 7,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473977/chip/goods_00_473977_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 8,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473977/chip/goods_09_473977_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 9,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473977/chip/goods_10_473977_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
Uniqlo tank tops 10,neutral,cotton,N/A,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/473977/chip/goods_35_473977_chip.jpg?width=36,Uniqlo,https://www.uniqlo.com/us/en/search?q=tank%20tops
