name,color,material,price,image,brand,url
Help,neutral,cotton,N/A,,Zara,https://www.zara.com#main
Zara tank tops 2,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 3,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 4,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 5,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 6,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 7,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 8,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 9,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
Zara tank tops 10,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tank%20tops&section=MAN
