name,color,material,price,image,brand,url
Help,neutral,cotton,N/A,,Zara,https://www.zara.com#main
Zara tshirt 2,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 3,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 4,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 5,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 6,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 7,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 8,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 9,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
Zara tshirt 10,neutral,cotton,N/A,,Zara,https://www.zara.com/us/en/search?searchTerm=tshirt&section=MAN
